group,source,factor_id,name,expression
alpha158,qlib_alpha158,a158_min30,Alpha158_最低价30日,"Min($low, 30)/$close"
alpha158,qlib_alpha158,a158_min5,Alpha158_最低价5日,"Min($low, 5)/$close"
alpha158,qlib_alpha158,a158_min60,Alpha158_最低价60日,"Min($low, 60)/$close"
alpha158,qlib_alpha158,a158_open0,Alpha158_开盘比,$open/$close
alpha158,qlib_alpha158,a158_qtld10,Alpha158_下分位10日,"Quantile($close, 10, 0.2)/$close"
alpha158,qlib_alpha158,a158_qtld20,Alpha158_下分位20日,"Quantile($close, 20, 0.2)/$close"
alpha158,qlib_alpha158,a158_qtld30,Alpha158_下分位30日,"Quantile($close, 30, 0.2)/$close"
alpha158,qlib_alpha158,a158_qtld5,Alpha158_下分位5日,"Quantile($close, 5, 0.2)/$close"
alpha158,qlib_alpha158,a158_qtld60,Alpha158_下分位60日,"Quantile($close, 60, 0.2)/$close"
alpha158,qlib_alpha158,a158_qtlu10,Alpha158_上分位10日,"Quantile($close, 10, 0.8)/$close"
alpha158,qlib_alpha158,a158_qtlu20,Alpha158_上分位20日,"Quantile($close, 20, 0.8)/$close"
alpha158,qlib_alpha158,a158_qtlu30,Alpha158_上分位30日,"Quantile($close, 30, 0.8)/$close"
alpha158,qlib_alpha158,a158_qtlu5,Alpha158_上分位5日,"Quantile($close, 5, 0.8)/$close"
alpha158,qlib_alpha158,a158_qtlu60,Alpha158_上分位60日,"Quantile($close, 60, 0.8)/$close"
alpha158,qlib_alpha158,a158_rank10,Alpha158_时序排名10日,"Rank($close, 10)"
alpha158,qlib_alpha158,a158_rank20,Alpha158_时序排名20日,"Rank($close, 20)"
alpha158,qlib_alpha158,a158_rank30,Alpha158_时序排名30日,"Rank($close, 30)"
alpha158,qlib_alpha158,a158_rank5,Alpha158_时序排名5日,"Rank($close, 5)"
alpha158,qlib_alpha158,a158_rank60,Alpha158_时序排名60日,"Rank($close, 60)"
alpha158,qlib_alpha158,a158_resi10,Alpha158_残差10日,"Resi($close, 10)/$close"
alpha158,qlib_alpha158,a158_resi20,Alpha158_残差20日,"Resi($close, 20)/$close"
alpha158,qlib_alpha158,a158_resi30,Alpha158_残差30日,"Resi($close, 30)/$close"
alpha158,qlib_alpha158,a158_resi5,Alpha158_残差5日,"Resi($close, 5)/$close"
alpha158,qlib_alpha158,a158_resi60,Alpha158_残差60日,"Resi($close, 60)/$close"
alpha158,qlib_alpha158,a158_roc10,Alpha158_ROC10日,"Ref($close, 10)/$close"
alpha158,qlib_alpha158,a158_roc20,Alpha158_ROC20日,"Ref($close, 20)/$close"
alpha158,qlib_alpha158,a158_roc30,Alpha158_ROC30日,"Ref($close, 30)/$close"
alpha158,qlib_alpha158,a158_roc5,Alpha158_ROC5日,"Ref($close, 5)/$close"
alpha158,qlib_alpha158,a158_roc60,Alpha158_ROC60日,"Ref($close, 60)/$close"
alpha158,qlib_alpha158,a158_rsqr10,Alpha158_R方10日,"Rsquare($close, 10)"
alpha158,qlib_alpha158,a158_rsqr20,Alpha158_R方20日,"Rsquare($close, 20)"
alpha158,qlib_alpha158,a158_rsqr30,Alpha158_R方30日,"Rsquare($close, 30)"
alpha158,qlib_alpha158,a158_rsqr5,Alpha158_R方5日,"Rsquare($close, 5)"
alpha158,qlib_alpha158,a158_rsqr60,Alpha158_R方60日,"Rsquare($close, 60)"
alpha158,qlib_alpha158,a158_rsv10,Alpha158_RSV10日,"($close-Min($low, 10))/(Max($high, 10)-Min($low, 10)+1e-12)"
alpha158,qlib_alpha158,a158_rsv20,Alpha158_RSV20日,"($close-Min($low, 20))/(Max($high, 20)-Min($low, 20)+1e-12)"
alpha158,qlib_alpha158,a158_rsv30,Alpha158_RSV30日,"($close-Min($low, 30))/(Max($high, 30)-Min($low, 30)+1e-12)"
alpha158,qlib_alpha158,a158_rsv5,Alpha158_RSV5日,"($close-Min($low, 5))/(Max($high, 5)-Min($low, 5)+1e-12)"
alpha158,qlib_alpha158,a158_rsv60,Alpha158_RSV60日,"($close-Min($low, 60))/(Max($high, 60)-Min($low, 60)+1e-12)"
alpha158,qlib_alpha158,a158_std10,Alpha158_波动率10日,"Std($close, 10)/$close"
alpha158,qlib_alpha158,a158_std20,Alpha158_波动率20日,"Std($close, 20)/$close"
alpha158,qlib_alpha158,a158_std30,Alpha158_波动率30日,"Std($close, 30)/$close"
alpha158,qlib_alpha158,a158_std5,Alpha158_波动率5日,"Std($close, 5)/$close"
alpha158,qlib_alpha158,a158_std60,Alpha158_波动率60日,"Std($close, 60)/$close"
alpha158,qlib_alpha158,a158_sumd10,Alpha158_涨跌幅差10日,"(Sum(Greater($close-Ref($close, 1), 0), 10)-Sum(Greater(Ref($close, 1)-$close, 0), 10))/(Sum(Abs($close-Ref($close, 1)), 10)+1e-12)"
alpha158,qlib_alpha158,a158_sumd20,Alpha158_涨跌幅差20日,"(Sum(Greater($close-Ref($close, 1), 0), 20)-Sum(Greater(Ref($close, 1)-$close, 0), 20))/(Sum(Abs($close-Ref($close, 1)), 20)+1e-12)"
alpha158,qlib_alpha158,a158_sumd30,Alpha158_涨跌幅差30日,"(Sum(Greater($close-Ref($close, 1), 0), 30)-Sum(Greater(Ref($close, 1)-$close, 0), 30))/(Sum(Abs($close-Ref($close, 1)), 30)+1e-12)"
alpha158,qlib_alpha158,a158_sumd5,Alpha158_涨跌幅差5日,"(Sum(Greater($close-Ref($close, 1), 0), 5)-Sum(Greater(Ref($close, 1)-$close, 0), 5))/(Sum(Abs($close-Ref($close, 1)), 5)+1e-12)"
alpha158,qlib_alpha158,a158_sumd60,Alpha158_涨跌幅差60日,"(Sum(Greater($close-Ref($close, 1), 0), 60)-Sum(Greater(Ref($close, 1)-$close, 0), 60))/(Sum(Abs($close-Ref($close, 1)), 60)+1e-12)"
alpha158,qlib_alpha158,a158_sumn10,Alpha158_下跌幅度10日,"Sum(Greater(Ref($close, 1)-$close, 0), 10)/(Sum(Abs($close-Ref($close, 1)), 10)+1e-12)"
alpha158,qlib_alpha158,a158_sumn20,Alpha158_下跌幅度20日,"Sum(Greater(Ref($close, 1)-$close, 0), 20)/(Sum(Abs($close-Ref($close, 1)), 20)+1e-12)"
alpha158,qlib_alpha158,a158_sumn30,Alpha158_下跌幅度30日,"Sum(Greater(Ref($close, 1)-$close, 0), 30)/(Sum(Abs($close-Ref($close, 1)), 30)+1e-12)"
alpha158,qlib_alpha158,a158_sumn5,Alpha158_下跌幅度5日,"Sum(Greater(Ref($close, 1)-$close, 0), 5)/(Sum(Abs($close-Ref($close, 1)), 5)+1e-12)"
alpha158,qlib_alpha158,a158_sumn60,Alpha158_下跌幅度60日,"Sum(Greater(Ref($close, 1)-$close, 0), 60)/(Sum(Abs($close-Ref($close, 1)), 60)+1e-12)"
alpha158,qlib_alpha158,a158_sump10,Alpha158_上涨幅度10日,"Sum(Greater($close-Ref($close, 1), 0), 10)/(Sum(Abs($close-Ref($close, 1)), 10)+1e-12)"
alpha158,qlib_alpha158,a158_sump20,Alpha158_上涨幅度20日,"Sum(Greater($close-Ref($close, 1), 0), 20)/(Sum(Abs($close-Ref($close, 1)), 20)+1e-12)"
alpha158,qlib_alpha158,a158_sump30,Alpha158_上涨幅度30日,"Sum(Greater($close-Ref($close, 1), 0), 30)/(Sum(Abs($close-Ref($close, 1)), 30)+1e-12)"
alpha158,qlib_alpha158,a158_sump5,Alpha158_上涨幅度5日,"Sum(Greater($close-Ref($close, 1), 0), 5)/(Sum(Abs($close-Ref($close, 1)), 5)+1e-12)"
alpha158,qlib_alpha158,a158_sump60,Alpha158_上涨幅度60日,"Sum(Greater($close-Ref($close, 1), 0), 60)/(Sum(Abs($close-Ref($close, 1)), 60)+1e-12)"
alpha158,qlib_alpha158,a158_vma10,Alpha158_量均线10日,"Mean($volume, 10)/($volume+1e-12)"
alpha158,qlib_alpha158,a158_vma20,Alpha158_量均线20日,"Mean($volume, 20)/($volume+1e-12)"
alpha158,qlib_alpha158,a158_vma30,Alpha158_量均线30日,"Mean($volume, 30)/($volume+1e-12)"
alpha158,qlib_alpha158,a158_vma5,Alpha158_量均线5日,"Mean($volume, 5)/($volume+1e-12)"
alpha158,qlib_alpha158,a158_vma60,Alpha158_量均线60日,"Mean($volume, 60)/($volume+1e-12)"
alpha158,qlib_alpha158,a158_vstd10,Alpha158_量波动10日,"Std($volume, 10)/($volume+1e-12)"
alpha158,qlib_alpha158,a158_vstd20,Alpha158_量波动20日,"Std($volume, 20)/($volume+1e-12)"
alpha158,qlib_alpha158,a158_vstd30,Alpha158_量波动30日,"Std($volume, 30)/($volume+1e-12)"
alpha158,qlib_alpha158,a158_vstd5,Alpha158_量波动5日,"Std($volume, 5)/($volume+1e-12)"
alpha158,qlib_alpha158,a158_vstd60,Alpha158_量波动60日,"Std($volume, 60)/($volume+1e-12)"
alpha158,qlib_alpha158,a158_vsumd10,Alpha158_量涨跌差10日,"(Sum(Greater($volume-Ref($volume, 1), 0), 10)-Sum(Greater(Ref($volume, 1)-$volume, 0), 10))/(Sum(Abs($volume-Ref($volume, 1)), 10)+1e-12)"
alpha158,qlib_alpha158,a158_vsumd20,Alpha158_量涨跌差20日,"(Sum(Greater($volume-Ref($volume, 1), 0), 20)-Sum(Greater(Ref($volume, 1)-$volume, 0), 20))/(Sum(Abs($volume-Ref($volume, 1)), 20)+1e-12)"
alpha158,qlib_alpha158,a158_vsumd30,Alpha158_量涨跌差30日,"(Sum(Greater($volume-Ref($volume, 1), 0), 30)-Sum(Greater(Ref($volume, 1)-$volume, 0), 30))/(Sum(Abs($volume-Ref($volume, 1)), 30)+1e-12)"
alpha158,qlib_alpha158,a158_vsumd5,Alpha158_量涨跌差5日,"(Sum(Greater($volume-Ref($volume, 1), 0), 5)-Sum(Greater(Ref($volume, 1)-$volume, 0), 5))/(Sum(Abs($volume-Ref($volume, 1)), 5)+1e-12)"
alpha158,qlib_alpha158,a158_vsumd60,Alpha158_量涨跌差60日,"(Sum(Greater($volume-Ref($volume, 1), 0), 60)-Sum(Greater(Ref($volume, 1)-$volume, 0), 60))/(Sum(Abs($volume-Ref($volume, 1)), 60)+1e-12)"
alpha158,qlib_alpha158,a158_vsumn10,Alpha158_量减比例10日,"Sum(Greater(Ref($volume, 1)-$volume, 0), 10)/(Sum(Abs($volume-Ref($volume, 1)), 10)+1e-12)"
alpha158,qlib_alpha158,a158_vsumn20,Alpha158_量减比例20日,"Sum(Greater(Ref($volume, 1)-$volume, 0), 20)/(Sum(Abs($volume-Ref($volume, 1)), 20)+1e-12)"
alpha158,qlib_alpha158,a158_vsumn30,Alpha158_量减比例30日,"Sum(Greater(Ref($volume, 1)-$volume, 0), 30)/(Sum(Abs($volume-Ref($volume, 1)), 30)+1e-12)"
alpha158,qlib_alpha158,a158_vsumn5,Alpha158_量减比例5日,"Sum(Greater(Ref($volume, 1)-$volume, 0), 5)/(Sum(Abs($volume-Ref($volume, 1)), 5)+1e-12)"
alpha158,qlib_alpha158,a158_vsumn60,Alpha158_量减比例60日,"Sum(Greater(Ref($volume, 1)-$volume, 0), 60)/(Sum(Abs($volume-Ref($volume, 1)), 60)+1e-12)"
alpha158,qlib_alpha158,a158_vsump10,Alpha158_量增比例10日,"Sum(Greater($volume-Ref($volume, 1), 0), 10)/(Sum(Abs($volume-Ref($volume, 1)), 10)+1e-12)"
alpha158,qlib_alpha158,a158_vsump20,Alpha158_量增比例20日,"Sum(Greater($volume-Ref($volume, 1), 0), 20)/(Sum(Abs($volume-Ref($volume, 1)), 20)+1e-12)"
alpha158,qlib_alpha158,a158_vsump30,Alpha158_量增比例30日,"Sum(Greater($volume-Ref($volume, 1), 0), 30)/(Sum(Abs($volume-Ref($volume, 1)), 30)+1e-12)"
alpha158,qlib_alpha158,a158_vsump5,Alpha158_量增比例5日,"Sum(Greater($volume-Ref($volume, 1), 0), 5)/(Sum(Abs($volume-Ref($volume, 1)), 5)+1e-12)"
alpha158,qlib_alpha158,a158_vsump60,Alpha158_量增比例60日,"Sum(Greater($volume-Ref($volume, 1), 0), 60)/(Sum(Abs($volume-Ref($volume, 1)), 60)+1e-12)"
alpha158,qlib_alpha158,a158_vwap0,Alpha158_VWAP比,$vwap/$close
alpha158,qlib_alpha158,a158_wvma10,Alpha158_加权量波动10日,"Std(Abs($close/Ref($close, 1)-1)*$volume, 10)/(Mean(Abs($close/Ref($close, 1)-1)*$volume, 10)+1e-12)"
alpha158,qlib_alpha158,a158_wvma20,Alpha158_加权量波动20日,"Std(Abs($close/Ref($close, 1)-1)*$volume, 20)/(Mean(Abs($close/Ref($close, 1)-1)*$volume, 20)+1e-12)"
alpha158,qlib_alpha158,a158_wvma30,Alpha158_加权量波动30日,"Std(Abs($close/Ref($close, 1)-1)*$volume, 30)/(Mean(Abs($close/Ref($close, 1)-1)*$volume, 30)+1e-12)"
alpha158,qlib_alpha158,a158_wvma5,Alpha158_加权量波动5日,"Std(Abs($close/Ref($close, 1)-1)*$volume, 5)/(Mean(Abs($close/Ref($close, 1)-1)*$volume, 5)+1e-12)"
alpha158,qlib_alpha158,a158_wvma60,Alpha158_加权量波动60日,"Std(Abs($close/Ref($close, 1)-1)*$volume, 60)/(Mean(Abs($close/Ref($close, 1)-1)*$volume, 60)+1e-12)"
alpha_community,alpha_community,ac_amt_impact_decay,成交额冲击衰减,"Mean(Abs($close / Ref($close, 1) - 1) / (Log($close * $volume + 1)), 5) / (Mean(Abs($close / Ref($close, 1) - 1) / (Log($close * $volume + 1)), 20) + 1e-12)"
alpha_community,alpha_community,ac_cov_px_vol_short,短窗量价协方差,"Cov($close, $volume, 10)"
alpha_community,alpha_community,ac_hl_amp_vol_link,振幅与成交量联动,"($high / $low - 1) * ($volume / (Mean($volume, 20) + 1e-12))"
alpha_community,alpha_community,ac_hl_range_position_delta,高低区间位置变化,"($close - Min($low, 20)) / (Max($high, 20) - Min($low, 20) + 1e-12) - Ref(($close - Min($low, 20)) / (Max($high, 20) - Min($low, 20) + 1e-12), 1)"
alpha_community,alpha_community,ac_mom_vol_mix,动量波动联合,"($close / Ref($close, 10) - 1) / (Std($close / Ref($close, 1) - 1, 20) + 1e-12)"
alpha_community,alpha_community,ac_oc_spread_norm,开收盘价差标准化,($open - $close) / ($close + 1e-12)
alpha_community,alpha_community,ac_rankcorr_px_vol,价量秩相关短窗,"Corr(($close - Min($close, 10)) / (Max($close, 10) - Min($close, 10) + 1e-12), ($volume - Min($volume, 10)) / (Max($volume, 10) - Min($volume, 10) + 1e-12), 10)"
alpha_community,alpha_community,ac_ret_skew_roll,滚动收益偏度,"Skew($close / Ref($close, 1) - 1, 20)"
alpha_community,alpha_community,ac_ts_rank_ret_short,短期收益时序排名,"($close / Ref($close, 1) - 1 - Min($close / Ref($close, 1) - 1, 10)) / (Max($close / Ref($close, 1) - 1, 10) - Min($close / Ref($close, 1) - 1, 10) + 1e-12)"
alpha_community,alpha_community,ac_ts_rank_vol_short,短期成交量时序排名,"($volume - Min($volume, 10)) / (Max($volume, 10) - Min($volume, 10) + 1e-12)"
alpha_community,alpha_community,ac_vol_cluster_ratio,波动聚集短中窗比,"Std($close / Ref($close, 1) - 1, 5) / (Std($close / Ref($close, 1) - 1, 20) + 1e-12)"
alpha_community,alpha_community,ac_vwap_bias,VWAP偏离,$close / (($close * $volume) / ($volume + 1e-12)) - 1
cross_section,custom,cs_amp_rank,振幅时序排名,"($high / $low - 1 - Min($high / $low - 1, 20)) / (Max($high / $low - 1, 20) - Min($high / $low - 1, 20) + 1e-12)"
cross_section,custom,cs_close_vs_mean5,收盘偏离5日均值,"($close - Mean($close, 5)) / (Std($close, 5) + 1e-12)"
cross_section,custom,cs_ret5_rank,5日收益时序排名,"($close / Ref($close, 5) - 1 - Min($close / Ref($close, 5) - 1, 20)) / (Max($close / Ref($close, 5) - 1, 20) - Min($close / Ref($close, 5) - 1, 20) + 1e-12)"
cross_section,custom,cs_turnover_rank,换手率时序排名,"($turnover - Min($turnover, 20)) / (Max($turnover, 20) - Min($turnover, 20) + 1e-12)"
cross_section,custom,cs_vol_rank,成交量时序排名,"($volume - Min($volume, 20)) / (Max($volume, 20) - Min($volume, 20) + 1e-12)"
cross_section,custom,cs_volume_trend,成交量趋势斜率,"Slope($volume, 10) / (Mean($volume, 10) + 1e-12)"
custom_basic,custom,cb_indneu_mom_20,行业中性短动量20,"$close / Ref($close, 20) - 1"
custom_basic,custom,cb_indneu_vol_20,行业中性波动20,"Std($close / Ref($close, 1) - 1, 20)"
custom_basic,custom,cb_turn_shock_recover_5_20,换手冲击恢复5_20,"Mean($turnover, 5) / (Mean($turnover, 20) + 1e-12) - 1"
custom_basic,custom,cb_vol_price_asym,缩量涨放量跌不对称,"Mean(If($close > Ref($close, 1), $volume, 0), 20) / (Mean(If($close < Ref($close, 1), $volume, 0), 20) + 1e-12)"
liquidity,custom,liq_amihud_20,Amihud非流动性20日,"Mean(Abs($close / Ref($close, 1) - 1) / (Log($amount + 1)), 20)"
liquidity,custom,liq_amt_concentration,成交额集中度,"Max($amount, 5) / (Sum($amount, 5) + 1e-12)"
liquidity,custom,liq_large_amount_ratio,大额成交占比,"Mean(If($amount > 2 * Mean($amount, 20), $amount, 0), 10) / (Mean($amount, 10) + 1e-12)"
liquidity,custom,liq_turnover_accel,换手率加速,"Mean($turnover, 5) / (Mean($turnover, 20) + 1e-12) - 1"
liquidity,custom,liq_volume_cv_20,成交量变异系数20日,"Std($volume, 20) / (Mean($volume, 20) + 1e-12)"
liquidity,custom,liq_zero_trade_ratio_20,零交易日占比20,"Mean(If($volume < 1, 1, 0), 20)"
microstructure,custom,ms_body_ratio,实体占比,Abs($close - $open) / ($high - $low + 1e-12)
microstructure,custom,ms_gap_fill_speed,跳空回补速度,"Mean(If(($open - Ref($close, 1)) * ($close - $open) < 0, 1, 0), 10)"
microstructure,custom,ms_intraday_pos,日内收盘位置,($close - $low) / ($high - $low + 1e-12)
microstructure,custom,ms_lower_shadow,下影线占比,"(If($open < $close, $open, $close) - $low) / ($high - $low + 1e-12)"
microstructure,custom,ms_open_gap,开盘跳空,"($open - Ref($close, 1)) / (Ref($close, 1) + 1e-12)"
microstructure,custom,ms_upper_shadow,上影线占比,"($high - Greater($open, $close)) / ($high - $low + 1e-12)"
price_volume,custom,pv_corr_ret_vol_10,收益量相关性10日,"Corr($close / Ref($close, 1) - 1, $volume, 10)"
price_volume,custom,pv_obv_slope,OBV斜率10日,"Slope(Sum(If($close > Ref($close, 1), $volume, 0) - If($close < Ref($close, 1), $volume, 0), 1), 10)"
price_volume,custom,pv_price_vol_diverge,量价背离,"($close / Ref($close, 5) - 1) - ($volume / Ref($volume, 5) - 1)"
price_volume,custom,pv_smart_money,聪明资金指标,"Corr($close, Ref($volume, 1), 10)"
price_volume,custom,pv_vol_breakout,成交量突破,"$volume / (Max($volume, 20) + 1e-12)"
price_volume,custom,pv_vol_price_trend,量价趋势相关20日,"Corr(Mean($close, 5), Mean($volume, 5), 20)"
qlib_builtin,qlib_builtin,qb_amp_mean_10,10日振幅均值,"Mean($high / $low - 1, 10)"
qlib_builtin,qlib_builtin,qb_amp_mean_20,20日振幅均值,"Mean($high / $low - 1, 20)"
qlib_builtin,qlib_builtin,qb_amt_trend_20,20日成交额趋势,"Slope(Mean($close * $volume, 1), 20)"
qlib_builtin,qlib_builtin,qb_boll_pos_20,布林带位置20日,"($close - Mean($close, 20)) / (Std($close, 20) + 1e-12)"
qlib_builtin,qlib_builtin,qb_corr_px_vol_20,20日价量相关,"Corr($close, $volume, 20)"
qlib_builtin,qlib_builtin,qb_dist_high_20,相对20日最高价偏离,"$close / Max($high, 20) - 1"
qlib_builtin,qlib_builtin,qb_dist_low_20,相对20日最低价偏离,"$close / Min($low, 20) - 1"
qlib_builtin,qlib_builtin,qb_div_px_vol_20,20日量价背离,"$close / Ref($close, 20) - 1 - (Mean($volume, 5) / Mean($volume, 20) - 1)"
qlib_builtin,qlib_builtin,qb_ma_bias_20,相对20日均线偏离,"$close / Mean($close, 20) - 1"
qlib_builtin,qlib_builtin,qb_ma_bias_60,相对60日均线偏离,"$close / Mean($close, 60) - 1"
qlib_builtin,qlib_builtin,qb_macd_hist,MACD柱值,"EMA($close, 12) - EMA($close, 26) - EMA(EMA($close, 12) - EMA($close, 26), 9)"
